measurement_id,batch,gas_class,concentration,feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,feat_9,feat_10,feat_11,feat_12,feat_13,feat_14,feat_15,feat_16,feat_17,feat_18,feat_19,feat_20,feat_21,feat_22,feat_23,feat_24,feat_25,feat_26,feat_27,feat_28,feat_29,feat_30,feat_31,feat_32,feat_33,feat_34,feat_35,feat_36,feat_37,feat_38,feat_39,feat_40,feat_41,feat_42,feat_43,feat_44,feat_45,feat_46,feat_47,feat_48,feat_49,feat_50,feat_51,feat_52,feat_53,feat_54,feat_55,feat_56,feat_57,feat_58,feat_59,feat_60,feat_61,feat_62,feat_63,feat_64,feat_65,feat_66,feat_67,feat_68,feat_69,feat_70,feat_71,feat_72,feat_73,feat_74,feat_75,feat_76,feat_77,feat_78,feat_79,feat_80,feat_81,feat_82,feat_83,feat_84,feat_85,feat_86,feat_87,feat_88,feat_89,feat_90,feat_91,feat_92,feat_93,feat_94,feat_95,feat_96,feat_97,feat_98,feat_99,feat_100,feat_101,feat_102,feat_103,feat_104,feat_105,feat_106,feat_107,feat_108,feat_109,feat_110,feat_111,feat_112,feat_113,feat_114,feat_115,feat_116,feat_117,feat_118,feat_119,feat_120,feat_121,feat_122,feat_123,feat_124,feat_125,feat_126,feat_127,feat_128
G_B03_0161,3,1,125,92617.7971,26.169377,27.16765,40.601772,43.565708,-20.471677,-27.0868,-45.611127,80029.0735,21.975089,24.744562,38.813756,41.94919,-16.896628,-22.312453,-43.338514,24336.5208,6.999714,7.995781,16.427558,18.670758,-5.525419,-7.96664,-11.318779,24254.8974,6.718684,8.016556,17.054563,19.365685,-5.501827,-7.872577,-11.580015,7172.5508,3.891339,2.996548,9.155839,11.820133,-1.670538,-2.531535,-3.818478,6888.6089,3.742876,2.755221,8.286382,10.716136,-1.552443,-2.354741,-3.458663,33291.5781,7.830454,12.801425,28.035848,32.166317,-8.254573,-12.772848,-17.589244,34664.3042,7.747827,13.56646,30.855931000000002,35.759033,-8.834099,-14.021712,-20.48783,79687.3154,18.255321,23.642977,34.804555,37.90664,-16.213357,-21.054674,-40.963495,81407.1509,17.482212,22.520306,31.906291,35.7,-15.693707,-19.864065,-37.850594,27373.3315,7.356521,8.936149,17.035251,19.147826,-6.211033,-8.809683,-13.687294,22277.2314,7.414779,7.279271,13.988521,15.582821,-5.055869,-7.088477,-10.224922,8979.2918,4.271415,3.728796,11.576564,15.315652,-2.076169,-3.365125,-5.419945,9268.7061,4.310883,3.594003,10.736119,14.041252,-2.037582,-3.121576,-4.84379,37310.2978,8.629584,14.495879,32.316473,37.655754,-9.503049,-15.448194,-22.231394,33862.8101,8.39982,13.160065,29.285951,33.98683,-8.444783,-13.254594,-20.505739
G_B03_0209,3,1,225,123025.4766,35.183832,37.46587,57.448868,61.914716,-27.440526,-36.817977,-73.116205,104317.4812,29.020772,33.44411,54.732026,58.78057,-22.284339,-29.722887,-63.279249,36531.0454,9.561684,11.519483,21.667177,24.223616,-8.789076,-12.882431,-20.134438,35990.2158,9.089523,11.469534,22.528413,25.475436,-8.635583,-12.367246,-18.870048,9571.4058,4.740632,3.791203,11.038831,14.164366,-2.276793,-3.552393,-5.544586,9196.5464,4.544561,3.438834,9.824283,12.544745,-2.113591,-3.147248,-4.446828,49175.5523,10.493825,18.33374,36.569313,40.922163,-12.767511,-20.19539,-28.010838,51315.4594,10.461473,19.427286,40.27599,45.126683,-13.828774,-22.961992,-31.072108,102530.1723,24.73195,31.860369,48.402318,54.203038,-21.18185,-27.669355,-58.971205,103780.2231,23.115769,29.805596,43.285363,48.363023,-20.564605,-26.444733,-64.61679,41645.6352,10.20242,13.09275,23.126111,25.58885,-10.029337,-14.460304,-22.399099,33380.9778,9.996823,10.532651,18.656964,20.525003,-8.003346,-11.495913,-17.008075,12082.471,5.226609,4.753601,13.926337,18.180653,-2.887122,-4.819566,-6.641226,12517.8193,5.276104,4.561173,12.790173,16.398956,-2.840461,-4.423699,-6.798974,55847.062,11.709545,21.102288,43.032634,48.302104,-15.170161,-25.651931,-36.92089,50489.7417,11.275284,19.016323,39.012556,43.744096,-13.253557,-21.831905,-34.171725
G_B02_0236,2,1,20,50184.6631,6.413396,10.175737,12.797146,13.771721,-7.896097,-9.84399,-12.036986,41117.2558,4.980802,9.168661,11.980649,12.522599,-6.259233,-7.776238,-9.424732,5300.3675,4.094388,1.630283,3.258428,3.610649,-0.930815,-1.216774,-1.453371,5198.4507,4.027781,1.62167,3.41455,3.731662,-0.923535,-1.227022,-1.4969,2646.3506,2.892899,1.186605,3.483756,4.256328,-0.551576,-0.822725,-1.142883,2372.1201,2.879915,1.011918,2.802191,3.504178,-0.476914,-0.684826,-0.929538,6760.133,5.057775,2.434699,5.868161,6.57595,-1.33909,-1.892457,-2.220261,6964.4535,4.970323,2.61272,6.686848,7.618691,-1.420578,-2.095005,-2.380771,45429.8252,8.340569,9.104102,11.358831,11.856166,-6.8084,-8.32024,-10.107599,50984.4433,8.840893,9.669388,11.738685,12.4623,-7.478533,-9.155857,-10.656429,6936.7171,4.352582,2.161932,4.131408,4.825621,-1.211491,-1.683823,-2.136152,5465.4416,4.389189,1.692304,3.187438,3.637411,-0.985042,-1.304448,-1.776227,3290.4733,3.11199,1.440323,4.05405,5.265395,-0.658005,-0.997345,-1.444622,3453.2131,3.055283,1.430791,3.598789,4.448416,-0.660238,-0.960779,-1.329867,9027.3725,5.584419,3.131436,7.350183,8.514188,-1.802004,-2.630032,-3.151738,8271.3291,5.539187,2.931216,6.654949,7.448479,-1.627327,-2.313821,-2.693612
G_B03_0272,3,1,250,133734.1206,32.257898,40.999646,63.776178,69.403465,-29.476476,-39.195708,-77.162352,110980.4785,26.779402,35.575086,58.549216,63.043027,-23.47783,-31.720963,-61.125788,38171.4668,9.968411,11.967346,22.59018,25.273694,-9.326265,-13.805073,-19.951776,37751.5947,9.426734,11.891387,23.186958,26.161131,-9.144075,-13.287377,-18.90837,9872.2971,4.876096,3.87096,11.125687,14.040074,-2.356128,-3.724451,-5.458887,9376.5701,4.681832,3.49465,9.98336,12.695635,-2.17667,-3.32471,-4.67997,51370.5503,10.929808,19.084541,38.332743,42.987385,-13.569417,-21.658907,-29.831873,53737.6709,10.801315,20.320292,41.805581,46.650479,-14.596558,-24.021751,-36.550815,108351.0601,21.557374,33.70742,51.794213,56.680202,-22.183114,-30.01081,-67.82038,110384.6987,19.942679,31.812733,46.552386,51.180276,-21.768376,-28.849308,-67.915357,44300.1855,10.675513,13.779186,23.854903,26.449075,-10.804525,-15.912904,-25.396343,35222.4738,10.493142,11.032387,19.620304,21.77626,-8.556371,-12.356913,-18.84051,12500.9229,5.417386,4.8620660000000004,14.012025,18.135557,-3.010209,-5.00417,-7.174596,12921.3867,5.458604,4.69636,13.182645,16.576243,-2.982388,-4.682932,-7.030624,59388.7778,12.319064,22.256109,44.952222,49.613798,-16.2931,-27.818701,-43.148548,53413.6948,11.870345,19.964253,40.904832,45.327081,-14.267625,-23.412944,-33.893976
G_B02_0252,2,1,50,91597.7891,9.810551,21.138966,27.458509,29.034295,-16.849837,-21.181383,-28.114758,72409.6035,8.154736,17.737726,23.635767,24.940889,-12.832475,-16.490521,-20.551223,8970.2388,6.362277,2.56303,4.972054,5.372377,-1.774812,-2.39469,-2.846564,9033.4075,6.174326,2.562615,4.888529,5.360694,-1.769829,-2.362658,-2.722125,4238.1584,4.039771,1.602301,4.039355,4.780305,-0.924147,-1.3678,-1.620317,3731.0351,4.05445,1.409129,3.644282,4.383949,-0.8124,-1.225845,-1.534496,11461.3407,7.992848,3.732516,8.181212,9.104289,-2.555647,-3.769992,-4.191628,12040.1057,7.769948,3.949967,8.513728,9.474759,-2.68303,-3.94647,-4.526821,77905.2715,13.898904,18.405684,23.636779,24.624211,-13.399561,-16.563275,-19.103767,87755.0591,12.750118,20.006892,25.465412,26.591896,-14.666581,-17.868264,-21.262499,11770.3808,6.672481,3.4192109999999998,6.104746,6.647344,-2.280089,-3.02331,-3.464399,8968.54,6.805008,2.599431,4.838897,5.336118,-1.819302,-2.445291,-3.380778,5079.9671,4.276111,1.976056,4.71245,5.986603,-1.068479,-1.623516,-3.207238,5168.9922,4.205793,2.029786,4.901862,5.903737,-1.092174,-1.701017,-2.298186,15497.1385,8.743124,5.016967,9.656003,10.643444,-3.4328090000000002,-5.143118,-5.92087,13614.6149,8.657212,4.549815,9.35469,10.263839,-3.047329,-4.597705,-5.130637
G_B06_0250,6,1,50,45887.148,10.729026,13.74786,21.87698,28.542956,-9.872839,-14.815125,-32.346547,37998.5171,8.685507,11.981752,19.944702,27.135113,-7.677122,-11.804126,-30.990876,16005.1591,4.831195,6.479384,16.421951,22.240883,-3.504364,-5.620966,-15.423304,16150.5586,4.665612,6.547185,16.597971,22.064009,-3.521055,-5.377465,-13.106628,2684.7416,2.421246,1.296704,4.403442,7.077338,-0.632061,-1.201704,-4.495982,2850.6109,2.441832,1.399697,4.82222,8.726879,-0.652502,-1.229687,-5.069921,21195.7236,5.347455,10.149472,27.390921,36.328923,-5.11743,-8.230252,-21.093361,22492.8462,5.268167,10.839404,30.144199,39.793894,-5.494342,-8.744078,-22.597763,41498.8745,7.840159,11.700897,17.297887,21.20883,-8.123968,-11.442661,-26.121571,32295.8896,6.439085,8.221225,11.862802,15.732133,-5.957771,-8.354712,-20.28451,18651.7895,4.936886,7.098011,15.456214,19.579403,-3.905334,-5.604876,-11.363689,15271.0249,4.97197,5.889105,13.254282,16.416203,-3.276889,-4.641663,-9.244509,5694.603,3.123347,3.058505,10.85519,14.934753,-1.258858,-2.017862,-4.354836,5654.7493,3.095788,2.928915,10.17219,14.58793,-1.216822,-1.918962,-4.327675,25579.5503,5.694503,11.525779,31.279329,40.789989,-6.003625,-9.173863,-17.162997,22370.4111,5.625199,10.295172,27.743017,35.84467,-5.239468,-8.189568,-15.069463
G_B07_2180,7,1,10,2908.6257,2.380849,0.781554,1.449146,3.35873,-0.379171,-0.786775,-3.687405,13882.8501,3.519546,5.012173,8.645138,12.077954,-2.131514,-3.322214,-11.116992,4764.1372,2.803603,2.869029,7.679319,11.642842,-0.956831,-1.675626,-6.142314,4901.7376,2.733086,2.883077,7.70055,11.162379,-0.969742,-1.684708,-5.78319,1398.7973,1.877427,0.933071,3.243828,5.18562,-0.311858,-0.685855,-3.573064,1338.3508,1.851997,0.919361,3.28398,6.122034,-0.295656,-0.72145,-3.974885,6596.2305,3.077779,4.522012,13.108409,16.557457,-1.431208,-2.367397,-7.718134,6903.5947,3.019042,4.740221,14.022446,19.349723,-1.511384,-2.52969,-8.793586,14725.0444,2.90163,4.329871,6.755254,9.952407,-2.0947,-3.286967,-11.562403,10211.1055,2.469838,2.764316,4.379012,7.222427,-1.271512,-2.011323,-7.868458,5576.3835,2.866739,2.974549,6.723304,9.307241,-1.049966,-1.541726,-4.122444,4512.5013,2.80445,2.576992,6.371677,9.081477,-0.883531,-1.329776,-3.552997,2487.9761,2.197793,1.706456,5.903078,9.380802,-0.499475,-0.912596,-4.092079,2422.1768,2.177265,1.674264,5.697209,8.984721,-0.472853,-0.801848,-2.633227,7771.7769,3.227844,4.813363,13.718812,17.742389,-1.588804,-2.405919,-5.621224,6838.6106,3.17615,4.392487,12.351186,16.192143,-1.404279,-2.107558,-5.323851
G_B06_0842,6,1,100,75188.4487,10.811506,21.810148,32.844879,45.513864,-16.348732,-23.486836,-58.67925,59165.5742,7.953903,17.691286,27.104056,40.002621,-13.053466,-18.832952,-52.621473,16915.1245,4.713164,5.954716,14.191344,19.599302,-4.225799,-6.763242,-18.374012,17207.0674,4.535867,6.04676,14.177469,19.706576,-4.23178,-6.696624,-16.652634,3663.5372,3.131014,1.460309,3.869744,7.385219,-0.910075,-1.747302,-5.482573,3342.0035,2.949558,1.304804,3.764109,6.802869,-0.808386,-1.488888,-5.22745,22960.5869,5.443054,9.194645,22.409698,30.601917,-6.136245,-10.237747,-27.436273,23897.6274,5.297872,9.643326,23.888527,31.04602,-6.423043,-10.717513,-26.611812,62829.874,8.072953,16.653079,23.393563,32.605021,-12.011309,-16.761597,-45.185686,47279.7187,7.33018,11.130447,14.883238,21.5837,-8.619354,-12.186432,-30.459179,20051.707,4.96053,6.884718,14.096578,18.558902,-4.77897,-7.048018,-14.580012,16314.1552,4.86629,5.657689,11.870055,15.020092,-3.991354,-5.90399,-11.417839,6306.9931,3.740933,2.740897,8.282608,12.132461,-1.450304,-2.487854,-5.558758,6170.2486,3.678638,2.609898,7.945638,11.709138,-1.39666,-2.289505,-4.671941,27366.001,6.002719,10.830888,24.84523,31.162398,-7.129874,-11.997262,-20.388226,24160.3813,5.870144,9.670651,22.290866,27.545864,-6.265175,-10.04011,-19.709085
G_B07_0192,7,1,70,17269.9873,4.528675,5.392593,8.001835,11.894941,-5.338721,-20.757687,-47.800627,45092.7808,8.97439,12.86038,19.482207,28.14638,-9.460916,-14.080394,-34.426641,15085.288,4.9907,5.341559,13.315065,18.848444,-3.609083,-5.646211,-14.27554,15374.2044,4.814977,5.436794,13.251592,18.127821,-3.65163,-5.691854,-15.287095,3346.1275,2.971974,1.346263,3.750385,7.820697,-0.832582,-1.497715,-4.754367,3037.7847,2.79261,1.221037,3.840576,6.323614,-0.731436,-1.422187,-5.849238,20151.4096,5.56736,8.211269,20.997792,28.41739,-5.222556,-8.968543,-20.739881,21145.5269,5.456925,8.60525,22.564479,29.182203,-5.521109,-9.231988,-19.342335,52843.2314,7.163398,14.027031,19.723676,28.627753,-10.05325,-14.336455,-38.059305,38548.2851,5.79341,9.224904,12.403146,17.327897,-7.007522,-9.678375,-25.352304,17781.1412,5.142509,6.083162,12.906887,16.432224,-4.086991,-5.978162,-13.230755,14428.3792,5.025545,5.0528,11.077428,14.690718,-3.426307,-4.985763,-9.775787,5558.6636,3.390086,2.531665,8.157034,12.740197,-1.305675,-2.111766,-4.763219,5437.1663,3.357617,2.395186,7.916024,11.624416,-1.237922,-1.922944,-4.075313,23951.6099,5.985284,9.455443,23.000216000000002,30.538423,-6.059959,-9.610064,-16.509369,21071.0684,5.826675,8.508214,20.661927,26.178502,-5.304529,-8.284306,-15.968136
G_B07_0054,7,1,200,29339.8208,14.428355,6.825173,9.38381,13.572096,-4.487276,-6.815811,-18.17142,77761.7686,20.400632,23.548452,37.814336,47.501436,-16.405925,-23.002523,-65.309446,27173.3867,7.0719900000000004,9.314947,22.023343,29.414656,-7.005897,-11.323394,-25.804138,27413.6182,6.75444,9.338862,21.881934,28.83743,-6.97007,-11.263144,-25.137227,5368.6556,4.287928,2.267873,5.335656,9.386665,-1.307446,-2.321394,-6.97531,4848.9821,3.954906,1.934542,5.13732,7.879394,-1.139185,-2.06922,-6.699745,35685.7016,8.235261,14.200553,32.991638,41.966682,-9.701492,-16.776858,-35.335385,37286.9126,7.996533,14.934517,35.374912,44.728771,-10.37474,-18.106474,-40.694576,89544.5688,17.946481,25.422186,36.980182,47.000918,-16.404033,-22.451983,-68.354847,69477.4834,16.045639,17.515561,24.069046,32.716601,-12.36834,-16.672743,-46.563048,32196.3154,7.411517,10.817501,22.352146,27.131308,-8.038647,-11.925574,-21.803979000000002,26081.0571,7.210452,8.831086,18.263106,22.279027,-6.6032,-9.871227,-17.77245,8915.9016,5.133573,3.812386,11.33734,15.405787,-2.072855,-3.47354,-7.039659,8783.0464,5.035914,3.59663,10.818712,16.070508,-1.995735,-3.192298,-6.207173,42880.0795,8.979988,17.145847,38.131402,45.989617,-11.67581,-20.1285,-38.381386,37525.5005,8.847785,15.150908,34.009993,41.880109,-10.039605,-16.721541,-30.174634
